online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,87926,1024000,458
True,inf,9,True,0.006,88323,1024000,460
True,inf,9,True,0.006,88651,1024000,462
True,inf,9,True,0.006,89045,1024000,464
True,inf,9,True,0.006,89402,1024000,466
True,inf,9,True,0.006,89785,1024000,468
True,inf,9,True,0.006,90139,1024000,470
True,inf,9,True,0.006,90480,1024000,472
True,inf,9,True,0.006,90857,1024000,474
True,inf,9,True,0.006,91206,1024000,476
True,inf,9,True,0.006,91620,1024000,478
True,inf,9,True,0.006,91965,1024000,480
True,inf,9,True,0.006,92291,1024000,482
True,inf,9,True,0.006,92677,1024000,484
True,inf,9,True,0.006,93020,1024000,486
True,inf,9,True,0.006,93355,1024000,488
True,inf,9,True,0.006,93756,1024000,490
True,inf,9,True,0.006,94068,1024000,492
True,inf,9,True,0.006,94464,1024000,494
True,inf,9,True,0.006,94840,1024000,496
True,inf,9,True,0.006,95221,1024000,498
True,inf,9,True,0.006,95543,1024000,500
True,inf,9,True,0.006,95906,1024000,502
True,inf,9,True,0.006,96235,1024000,504
True,inf,9,True,0.006,96605,1024000,506
True,inf,9,True,0.006,96936,1024000,508
True,inf,9,True,0.006,97345,1024000,510
True,inf,9,True,0.006,97674,1024000,512
True,inf,9,True,0.006,98062,1024000,514
True,inf,9,True,0.006,98456,1024000,516
True,inf,9,True,0.006,98810,1024000,518
True,inf,9,True,0.006,99154,1024000,520
True,inf,9,True,0.006,99517,1024000,522
True,inf,9,True,0.006,99853,1024000,524
True,inf,9,True,0.006,100217,1024000,526
True,inf,9,True,0.006,100565,1024000,528
True,inf,9,True,0.006,100890,1024000,530
True,inf,9,True,0.006,101283,1024000,532
True,inf,9,True,0.006,101614,1024000,534
True,inf,9,True,0.006,101906,1024000,536
True,inf,9,True,0.006,102221,1024000,538
True,inf,9,True,0.006,102579,1024000,540
True,inf,9,True,0.006,102982,1024000,542
True,inf,9,True,0.006,103293,1024000,544
True,inf,9,True,0.006,103665,1024000,546
True,inf,9,True,0.006,104093,1024000,548
True,inf,9,True,0.006,104522,1024000,550
True,inf,9,True,0.006,104815,1024000,552
True,inf,9,True,0.006,105119,1024000,554
True,inf,9,True,0.006,105496,1024000,556
True,inf,9,True,0.006,105816,1024000,558
True,inf,9,True,0.006,106187,1024000,560
True,inf,9,True,0.006,106561,1024000,562
True,inf,9,True,0.006,106941,1024000,564
True,inf,9,True,0.006,107315,1024000,566
True,inf,9,True,0.006,107610,1024000,568
True,inf,9,True,0.006,107945,1024000,570
True,inf,9,True,0.006,108372,1024000,572
True,inf,9,True,0.006,108724,1024000,574
True,inf,9,True,0.006,109097,1024000,576
True,inf,9,True,0.006,109421,1024000,578
True,inf,9,True,0.006,109745,1024000,580
True,inf,9,True,0.006,110133,1024000,582
True,inf,9,True,0.006,110440,1024000,584
True,inf,9,True,0.006,110783,1024000,586
