online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,25,True,0.006,7396,10240,75000
True,25,True,0.006,7419,10240,76000
True,25,True,0.006,7422,10240,77000
True,25,True,0.006,7404,10240,78000
True,25,True,0.006,7421,10240,79000
True,25,True,0.006,7425,10240,80000
True,25,True,0.006,7433,10240,81000
True,25,True,0.006,7466,10240,82000
True,25,True,0.006,7477,10240,83000
True,25,True,0.006,7437,10240,84000
True,25,True,0.006,7434,10240,85000
True,25,True,0.006,7437,10240,86000
True,25,True,0.006,7436,10240,87000
True,25,True,0.006,7444,10240,88000
True,25,True,0.006,7455,10240,89000
True,25,True,0.006,7457,10240,90000
True,25,True,0.006,7469,10240,91000
True,25,True,0.006,7484,10240,92000
True,25,True,0.006,7486,10240,93000
True,25,True,0.006,7487,10240,94000
True,25,True,0.006,7500,10240,95000
True,25,True,0.006,7503,10240,96000
True,25,True,0.006,7521,10240,97000
True,25,True,0.006,7511,10240,98000
True,25,True,0.006,7516,10240,99000
True,35,True,0.006,0,10240,0
True,35,True,0.006,171,10240,1000
True,35,True,0.006,355,10240,2000
True,35,True,0.006,547,10240,3000
True,35,True,0.006,721,10240,4000
True,35,True,0.006,898,10240,5000
True,35,True,0.006,1078,10240,6000
True,35,True,0.006,1220,10240,7000
True,35,True,0.006,1388,10240,8000
True,35,True,0.006,1560,10240,9000
True,35,True,0.006,1686,10240,10000
True,35,True,0.006,1849,10240,11000
True,35,True,0.006,1989,10240,12000
True,35,True,0.006,2106,10240,13000
True,35,True,0.006,2246,10240,14000
True,35,True,0.006,2383,10240,15000
True,35,True,0.006,2519,10240,16000
True,35,True,0.006,2646,10240,17000
True,35,True,0.006,2772,10240,18000
True,35,True,0.006,2874,10240,19000
True,35,True,0.006,3006,10240,20000
True,35,True,0.006,3129,10240,21000
True,35,True,0.006,3222,10240,22000
True,35,True,0.006,3314,10240,23000
True,35,True,0.006,3422,10240,24000
True,35,True,0.006,3523,10240,25000
True,35,True,0.006,3619,10240,26000
True,35,True,0.006,3710,10240,27000
True,35,True,0.006,3814,10240,28000
True,35,True,0.006,3880,10240,29000
True,35,True,0.006,3973,10240,30000
True,35,True,0.006,4052,10240,31000
True,35,True,0.006,4138,10240,32000
True,35,True,0.006,4213,10240,33000
True,35,True,0.006,4280,10240,34000
True,35,True,0.006,4351,10240,35000
True,35,True,0.006,4426,10240,36000
True,35,True,0.006,4505,10240,37000
True,35,True,0.006,4582,10240,38000
True,35,True,0.006,4644,10240,39000
True,35,True,0.006,4706,10240,40000
True,35,True,0.006,4777,10240,41000
True,35,True,0.006,4818,10240,42000
True,35,True,0.006,4901,10240,43000
True,35,True,0.006,4948,10240,44000
True,35,True,0.006,5026,10240,45000
True,35,True,0.006,5079,10240,46000
True,35,True,0.006,5149,10240,47000
True,35,True,0.006,5191,10240,48000
True,35,True,0.006,5248,10240,49000
True,35,True,0.006,5325,10240,50000
True,35,True,0.006,5363,10240,51000
True,35,True,0.006,5424,10240,52000
True,35,True,0.006,5483,10240,53000
True,35,True,0.006,5544,10240,54000
True,35,True,0.006,5586,10240,55000
True,35,True,0.006,5638,10240,56000
True,35,True,0.006,5701,10240,57000
True,35,True,0.006,5758,10240,58000
True,35,True,0.006,5786,10240,59000
True,35,True,0.006,5828,10240,60000
True,35,True,0.006,5869,10240,61000
True,35,True,0.006,5902,10240,62000
True,35,True,0.006,5945,10240,63000
True,35,True,0.006,5988,10240,64000
True,35,True,0.006,6035,10240,65000
True,35,True,0.006,6078,10240,66000
True,35,True,0.006,6101,10240,67000
True,35,True,0.006,6143,10240,68000
True,35,True,0.006,6174,10240,69000
True,35,True,0.006,6212,10240,70000
True,35,True,0.006,6245,10240,71000
True,35,True,0.006,6274,10240,72000
True,35,True,0.006,6311,10240,73000
True,35,True,0.006,6343,10240,74000
True,35,True,0.006,6367,10240,75000
True,35,True,0.006,6385,10240,76000
True,35,True,0.006,6416,10240,77000
True,35,True,0.006,6444,10240,78000
True,35,True,0.006,6488,10240,79000
True,35,True,0.006,6502,10240,80000
True,35,True,0.006,6501,10240,81000
True,35,True,0.006,6524,10240,82000
True,35,True,0.006,6558,10240,83000
True,35,True,0.006,6587,10240,84000
True,35,True,0.006,6602,10240,85000
True,35,True,0.006,6620,10240,86000
True,35,True,0.006,6658,10240,87000
